Metric;f1-score-train;precision-train;recall-train;support-train;f1-score-test;precision-test;recall-test;support-test;Model
balanced_accuracy;1,0;;;;0,977749391826363;;;;Random Forest_rfe
kappa;1,0;;;;0,975230920068115;;;;Random Forest_rfe
accuracy;1,0;1,0;1,0;1,0;0,9777777777777777;0,9777777777777777;0,9777777777777777;0,9777777777777777;Random Forest_rfe
macro avg;1,0;1,0;1,0;1437,0;0,9777618884371486;0,9783553926071681;0,977749391826363;360,0;Random Forest_rfe
weighted avg;1,0;1,0;1,0;1437,0;0,9777779820073728;0,9782823646845782;0,9777777777777777;360,0;Random Forest_rfe
balanced_accuracy;1,0;;;;0,9683451039990464;;;;Random Forest_pca
kappa;1,0;;;;0,9628511725098676;;;;Random Forest_pca
accuracy;1,0;1,0;1,0;1,0;0,9666666666666667;0,9666666666666667;0,9666666666666667;0,9666666666666667;Random Forest_pca
macro avg;1,0;1,0;1,0;1437,0;0,9681499789061638;0,9684045000113868;0,9683451039990464;360,0;Random Forest_pca
weighted avg;1,0;1,0;1,0;1437,0;0,9666591706976384;0,9670899154603124;0,9666666666666667;360,0;Random Forest_pca
balanced_accuracy;1,0;;;;0,9697619618867647;;;;Random Forest_rf
kappa;1,0;;;;0,9659448581895737;;;;Random Forest_rf
accuracy;1,0;1,0;1,0;1,0;0,9694444444444444;0,9694444444444444;0,9694444444444444;0,9694444444444444;Random Forest_rf
macro avg;1,0;1,0;1,0;1437,0;0,9694045380433707;0,9697224226232747;0,9697619618867647;360,0;Random Forest_rf
weighted avg;1,0;1,0;1,0;1437,0;0,9694876508752575;0,9701515342474961;0,9694444444444444;360,0;Random Forest_rf
balanced_accuracy;1,0;;;;0,9802692082635762;;;;Random Forest_mi
kappa;1,0;;;;0,9783229535835942;;;;Random Forest_mi
accuracy;1,0;1,0;1,0;1,0;0,9805555555555555;0,9805555555555555;0,9805555555555555;0,9805555555555555;Random Forest_mi
macro avg;1,0;1,0;1,0;1437,0;0,9809882170471784;0,9819590785690652;0,9802692082635762;360,0;Random Forest_mi
weighted avg;1,0;1,0;1,0;1437,0;0,9805730782696227;0,9808261833917556;0,9805555555555555;360,0;Random Forest_mi
balanced_accuracy;1,0;;;;0,9777692082635762;;;;Random Forest_none
kappa;1,0;;;;0,9752283635237653;;;;Random Forest_none
accuracy;1,0;1,0;1,0;1,0;0,9777777777777777;0,9777777777777777;0,9777777777777777;0,9777777777777777;Random Forest_none
macro avg;1,0;1,0;1,0;1437,0;0,9780523306136522;0,9785616426716294;0,9777692082635762;360,0;Random Forest_none
weighted avg;1,0;1,0;1,0;1437,0;0,9777660983654533;0,9779771805427527;0,9777777777777777;360,0;Random Forest_none
